"";"actionCodes";"assignedGroup";"assigneeUsername";"countComments";"countIncomingMails";"countOutgoingMails";"created";"creationType";"description";"issueId";"issueKey";"issueTypeCode";"issueTypeId";"issueTypeName";"lastStatusTransistion";"loadId";"loggedWork";"priorityName";"projectKey";"reporterUsername";"responsibleCompanyKey";"responsibleCompanyKeyManual";"responsibleParty";"slas";"statusName";"transportOrderId";"updated";"slaGoal";"slaMet";"slaName";"slaStatus";"slaTimeLeft";"txt_subj";"txt_main";"pos_main";"pos_subj";"neg_subj";"neu_subj";"posi_subj";"compound_subj";"neg_body";"neu_body";"posi_body";"compound_body";"ID";"language"
"0";"[]";"[356072]";"[926061]";"0";"1";"0";"1526006461000";"";"";"4145997";"AGCO-949447";"R_4F03";"10501";"R_4F03 - Processes";"1526007933000";"";"0";"Medium";"[906966]";"[583984]";"[]";"[]";"[230592]";"[{'slaMet': True, 'slaStatus': 'STOPPED', 'slaName': 'Time to reaction', 'slaGoal': 3600, 'slaTimeLeft': 1471}]";"Closed";"10231751";"1526007933000";"3600";"True";"Time to reaction";"STOPPED";"1471";"[312287, 220570, 660442, 437797, 906966, 382198, 750289, 420119, 761616, 911057, 233935, 965428, 356072, 294617, 906966, 598181, 604475, 584482, 415676, 642816, 356072, 47651, 666444, 639426, 876626, 715663, 668962, 689812, 624950, 681379]";"[830141, 349821, 610843, 450196, 434948, 325120, 450196, 880029, 450196, 716028, 544170, 500115, 947983, 932529, 396882, 951137, 569933, 383726, 299481, 677837, 278039, 552291, 490518, 540352, 424287, 642816, 532548, 758265, 424287, 297468, 728824, 901715, 386692, 915575, 728824, 591084, 542686, 224693, 205229, 810287, 723666, 277394, 598632, 469689, 385113, 843985, 730968, 433879, 801120, 444868, 798511, 986097, 714241, 424287, 586432, 681379, 889054, 192880, 321485, 911399, 306584, 487894, 396882, 863151, 823100, 321485, 260579, 487894, 396882, 863151, 823100, 321485, 120554, 881955, 96964, 935428, 702697, 356072, 844317, 910438, 382198, 493368, 956319, 511545, 356072, 86280, 321485, 654453, 511545, 356072, 86280, 321485, 395873, 220570, 660442, 437797, 906966, 382198, 750289, 420119, 761616, 911057, 233935, 965428, 356072, 294617, 906966, 598181, 604475, 584482, 415676, 642816, 356072, 47651, 666444, 639426, 876626, 715663, 668962, 689812, 624950, 681379, 609824, 891821, 623851, 73468, 660442, 32185, 942250, 220570, 396882, 322693, 748636, 544950, 696800, 138340, 767282, 437797, 580078, 540352, 424287, 854920, 251169, 356072, 251169, 356072, 708040, 876626, 715663, 670891, 231907, 883330, 432658, 346025, 230914, 148315, 230914, 420119, 761616, 911057, 233935, 965428, 356072, 294617, 708040, 876626, 715663, 295804, 906966, 598181, 604475, 584482, 415676, 642816, 356072, 47651, 639426, 876626, 715663, 295804, 973135, 76728, 128182, 259612, 181102, 853094, 573889, 278182, 409368, 745824, 863151, 823100, 585881, 170413, 491009, 782433, 889054, 863151, 823100, 321485]";"[398366, 398366, 398366, 398366, 588035, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 454263, 454263, 398366, 454263, 454263, 796493, 173753, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 531257, 531257, 398366, 531257, 531257, 587552, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 398366, 398366, 398366, 398366, 398366, 531257, 398366, 398366, 398366, 398366, 531257, 454263, 454263, 454263, 454263, 398366, 454263, 454263, 454263, 389464, 103208, 587552, 454263, 454263, 454263, 389464, 103208, 588035, 531257, 531257, 531257, 230914, 398366, 398366, 398366, 398366, 398366, 398366, 588035, 398366, 531257, 454263, 398366, 454263, 398366, 531257, 454263, 398366, 398366, 588035, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 398366, 531257, 531257, 531257, 531257, 531257, 389464, 531257, 398366, 398366, 398366, 454263, 588035, 173753, 454263, 398366, 454263, 454263, 398366, 398366, 454263, 398366, 173753, 531257, 398366, 398366, 398366, 398366, 454263, 398366, 454263, 398366, 531257, 531257, 531257, 531257, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 531257, 531257, 531257, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 531257, 531257, 531257, 531257, 796493, 454263, 454263, 454263, 454263, 454263, 454263, 398366, 588035, 587552, 454263, 389464, 398366, 531257, 454263, 398366, 454263, 454263, 389464, 103208]";"[398366, 398366, 588035, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 398366, 398366, 398366, 398366, 398366, 398366, 398366, 531257, 398366, 531257, 531257, 531257, 531257, 531257, 389464, 531257]";"0.078";"0.922";"0.0";"-0.1531";"0.024";"0.869";"0.107";"0.9206";"1";"en"
"1";"[]";"[356072]";"[101633]";"0";"1";"0";"1526006041000";"";"";"4145994";"AGCO-949446";"R_4F09";"10509";"R_4F09 - Other customer support";"1526008540000";"";"0";"Medium";"[906966]";"[583984]";"[]";"[]";"[230592]";"[{'slaMet': True, 'slaStatus': 'STOPPED', 'slaName': 'Time to reaction', 'slaGoal': 3600, 'slaTimeLeft': 2498}]";"Closed";"";"1526008540000";"3600";"True";"Time to reaction";"STOPPED";"2498";"[312287, 906966, 310055, 603365, 68324, 630631, 68324, 890849, 817290, 437678]";"[817290, 921276, 388782, 817290, 437678, 817290, 599325, 225310, 921602, 825387, 300916, 362230, 55955, 681308, 791103, 312995, 695379, 507223, 388370, 230914, 505898, 903806, 844532, 542082, 78261, 584400, 300916, 439965, 362230, 507223, 504376, 681308, 993680, 928313, 993168, 605233, 654270, 156021, 371123, 159231, 362230, 439965, 422958, 770887, 666112, 507223, 798684, 108564, 675342, 817290, 437678, 817290, 186060, 380539, 817290, 437678, 817290, 329029, 183016, 817290, 437678, 817290, 413031, 817290, 437678, 817290, 437678, 487064, 86280, 793123, 774602, 750289, 82495, 674118, 109899, 26052, 487064, 817290, 437678, 307522, 817290, 413031, 817290, 385562, 379583, 817290, 57721, 788933, 86280, 321485, 817290, 437678, 817290, 822968, 86280, 321485, 817290, 437678, 817290, 564380, 728824, 901715, 975128, 901715, 817290, 259814, 728824, 901715, 975128, 799225, 817290, 374070, 728824, 233832, 817290, 437678, 817290, 437678, 817290, 437678]";"[454263, 454263, 398366, 454263, 454263, 454263, 587552, 454263, 454263, 376622, 454263, 398366, 454263, 454263, 454263, 587552, 398366, 454263, 398366, 398366, 239964, 587552, 398366, 398366, 587552, 398366, 454263, 454263, 398366, 376622, 312287, 587552, 398366, 454263, 454263, 587552, 531257, 531257, 587552, 389464, 398366, 103208, 398366, 398366, 312287, 454263, 454263, 454263, 398366, 454263, 454263, 454263, 717777, 531257, 454263, 587552, 454263, 454263, 398366, 454263, 454263, 454263, 587552, 454263, 587552, 454263, 454263, 588035, 531257, 398366, 398366, 398366, 398366, 398366, 587552, 550232, 454263, 454263, 454263, 398366, 454263, 454263, 454263, 796493, 398366, 454263, 454263, 587552, 531257, 454263, 454263, 587552, 454263, 717777, 531257, 454263, 454263, 587552, 454263, 588035, 531257, 531257, 531257, 531257, 454263, 717777, 531257, 531257, 531257, 531257, 454263, 717777, 531257, 531257, 454263, 587552, 454263, 587552, 454263, 454263]";"[398366, 398366, 454263, 398366, 398366, 531257, 398366, 531257, 454263, 454263]";"0.0";"1.0";"0.0";"0.0";"0.05";"0.95";"0.0";"-0.5994";"2";"de"
